gw,mesh,mode,sensorSF,meshSF,total_sent,total_rcv,total_drop,der_pct,total_rcv_started,total_rcv_correct,total_collision,radio_der_pct,collision_pct
2,1,MAX,10,10,482,680,0,141.07883817427387,964,680,284,70.53941908713693,29.460580912863072
2,1,MAX,10,11,1446,2040,0,141.07883817427387,2892,2040,852,70.53941908713693,29.460580912863072
2,1,MAX,10,12,964,1360,0,141.07883817427387,1928,1360,568,70.53941908713693,29.460580912863072
2,1,MAX,10,7,964,1360,0,141.07883817427387,1928,1360,568,70.53941908713693,29.460580912863072
2,1,MAX,10,8,964,1360,0,141.07883817427387,1928,1360,568,70.53941908713693,29.460580912863072
2,1,MAX,10,9,964,1360,0,141.07883817427387,1928,1360,568,70.53941908713693,29.460580912863072
2,1,MAX,11,10,488,976,0,200.0,976,976,0,100.0,0.0
2,1,MAX,11,11,488,976,0,200.0,976,976,0,100.0,0.0
2,1,MAX,11,12,488,976,0,200.0,976,976,0,100.0,0.0
2,1,MAX,11,7,488,976,0,200.0,976,976,0,100.0,0.0
2,1,MAX,11,8,488,976,0,200.0,976,976,0,100.0,0.0
2,1,MAX,11,9,488,976,0,200.0,976,976,0,100.0,0.0
2,1,MAX,12,10,273,560,0,205.1282051282051,560,560,0,100.0,0.0
2,1,MAX,12,11,280,560,0,200.0,560,560,0,100.0,0.0
2,1,MAX,12,12,280,560,0,200.0,560,560,0,100.0,0.0
2,1,MAX,12,7,140,280,0,200.0,280,280,0,100.0,0.0
2,1,MAX,12,8,140,280,0,200.0,280,280,0,100.0,0.0
2,1,MAX,12,9,140,280,0,200.0,280,280,0,100.0,0.0
2,1,MAX,7,10,8979,8979,0,100.0,17958,8979,0,50.0,0.0
2,1,MAX,7,11,8979,8979,0,100.0,17958,8979,0,50.0,0.0
2,1,MAX,7,12,8979,8979,0,100.0,17958,8979,0,50.0,0.0
2,1,MAX,7,7,8979,8979,0,100.0,17958,8979,0,50.0,0.0
2,1,MAX,7,8,8979,8979,0,100.0,17958,8979,0,50.0,0.0
2,1,MAX,7,9,8979,8979,0,100.0,17958,8979,0,50.0,0.0
2,1,MAX,8,10,5025,2028,0,40.35820895522388,10050,2028,6993,20.17910447761194,69.5820895522388
2,1,MAX,8,11,5025,2028,0,40.35820895522388,10050,2028,6993,20.17910447761194,69.5820895522388
2,1,MAX,8,12,3350,1352,0,40.35820895522388,6700,1352,4662,20.17910447761194,69.5820895522388
2,1,MAX,8,7,5025,2028,0,40.35820895522388,10050,2028,6993,20.17910447761194,69.5820895522388
2,1,MAX,8,8,5025,2028,0,40.35820895522388,10050,2028,6993,20.17910447761194,69.5820895522388
2,1,MAX,8,9,3350,1352,0,40.35820895522388,6700,1352,4662,20.17910447761194,69.5820895522388
2,1,MAX,9,10,1906,1354,0,71.03882476390346,3812,1354,2458,35.51941238195173,64.48058761804828
2,1,MAX,9,11,1906,1354,0,71.03882476390346,3812,1354,2458,35.51941238195173,64.48058761804828
2,1,MAX,9,12,953,677,0,71.03882476390346,1906,677,1229,35.51941238195173,64.48058761804828
2,1,MAX,9,7,1906,1354,0,71.03882476390346,3812,1354,2458,35.51941238195173,64.48058761804828
2,1,MAX,9,8,953,677,0,71.03882476390346,1906,677,1229,35.51941238195173,64.48058761804828
2,1,MAX,9,9,1906,1354,0,71.03882476390346,3812,1354,2458,35.51941238195173,64.48058761804828
2,1,MIN,10,10,1446,2040,0,141.07883817427387,2892,2040,852,70.53941908713693,29.460580912863072
2,1,MIN,10,11,1422,2040,0,143.45991561181435,2892,2040,852,70.53941908713693,29.460580912863072
2,1,MIN,10,12,1446,2040,0,141.07883817427387,2892,2040,852,70.53941908713693,29.460580912863072
