gw,mesh,mode,sensorSF,meshSF,total_sent,total_rcv,total_drop,total_rcv_correct,total_rcv_started,total_collision,radio_der_pct,collision_pct,der_pct,sensitivity_loss_pct,collision_loss_pct
2,1,MAX,7,7,140,140,0,140,280,0,50.0,0.0,100.0,-100.0,0.0
2,1,MAX,7,8,140,140,0,140,280,0,50.0,0.0,100.0,-100.0,0.0
2,1,MAX,8,11,140,140,0,140,280,0,50.0,0.0,100.0,-100.0,0.0
2,1,MAX,8,12,140,140,0,140,280,0,50.0,0.0,100.0,-100.0,0.0
2,1,MAX,9,7,140,280,0,280,280,0,100.0,0.0,200.0,-100.0,0.0
2,1,MAX,9,8,140,280,0,280,280,0,100.0,0.0,200.0,-100.0,0.0
2,1,MAX,9,9,140,280,0,280,280,0,100.0,0.0,200.0,-100.0,0.0
2,1,MAX,9,10,140,280,0,280,280,0,100.0,0.0,200.0,-100.0,0.0
2,1,MAX,9,11,140,280,0,280,280,0,100.0,0.0,200.0,-100.0,0.0
2,1,MAX,9,12,140,280,0,280,280,0,100.0,0.0,200.0,-100.0,0.0
2,1,MAX,10,7,140,280,0,280,280,0,100.0,0.0,200.0,-100.0,0.0
2,1,MAX,10,8,140,280,0,280,280,0,100.0,0.0,200.0,-100.0,0.0
2,1,MAX,7,9,140,140,0,140,280,0,50.0,0.0,100.0,-100.0,0.0
2,1,MAX,10,9,140,280,0,280,280,0,100.0,0.0,200.0,-100.0,0.0
2,1,MAX,10,10,140,280,0,280,280,0,100.0,0.0,200.0,-100.0,0.0
2,1,MAX,10,11,140,280,0,280,280,0,100.0,0.0,200.0,-100.0,0.0
2,1,MAX,10,12,140,280,0,280,280,0,100.0,0.0,200.0,-100.0,0.0
2,1,MAX,11,7,140,280,0,280,280,0,100.0,0.0,200.0,-100.0,0.0
2,1,MAX,11,8,140,280,0,280,280,0,100.0,0.0,200.0,-100.0,0.0
2,1,MAX,11,9,140,280,0,280,280,0,100.0,0.0,200.0,-100.0,0.0
2,1,MAX,11,10,140,280,0,280,280,0,100.0,0.0,200.0,-100.0,0.0
2,1,MAX,11,11,140,280,0,280,280,0,100.0,0.0,200.0,-100.0,0.0
2,1,MAX,11,12,140,280,0,280,280,0,100.0,0.0,200.0,-100.0,0.0
2,1,MAX,7,10,140,140,0,140,280,0,50.0,0.0,100.0,-100.0,0.0
2,1,MAX,12,7,140,280,0,280,280,0,100.0,0.0,200.0,-100.0,0.0
2,1,MAX,12,8,140,280,0,280,280,0,100.0,0.0,200.0,-100.0,0.0
