gw,mesh,mode,sensorSF,meshSF,total_sent,total_rcv,total_drop,total_rcv_correct,total_rcv_started,total_collision,radio_der_pct,collision_pct,der_pct
2,1,MAX,7,7,2993,2978,0,2978,5986,0,49.7494153023722,0.0,99.4988306047444
2,1,MAX,7,8,2993,2980,0,2980,5986,0,49.78282659538924,0.0,99.56565319077848
2,1,MAX,8,11,1675,638,0,638,3350,2212,19.044776119402982,66.02985074626866,38.089552238805965
2,1,MAX,8,12,1675,636,0,636,3350,2209,18.98507462686567,65.94029850746269,37.97014925373134
2,1,MAX,9,7,953,692,0,692,1906,813,36.306400839454355,42.65477439664218,72.61280167890871
2,1,MAX,9,8,953,695,0,695,1906,831,36.463798530954875,43.59916054564533,72.92759706190975
2,1,MAX,9,9,953,688,0,688,1906,827,36.09653725078699,43.389296956977965,72.19307450157397
2,1,MAX,9,10,953,684,0,684,1906,811,35.88667366211962,42.5498426023085,71.77334732423924
2,1,MAX,9,11,953,687,0,687,1906,819,36.04407135362015,42.96956977964323,72.0881427072403
2,1,MAX,9,12,953,684,0,684,1906,828,35.88667366211962,43.441762854144805,71.77334732423924
2,1,MAX,10,7,482,536,0,536,964,181,55.601659751037346,18.775933609958507,111.20331950207469
2,1,MAX,10,8,482,542,0,542,964,206,56.22406639004149,21.369294605809127,112.44813278008299
2,1,MAX,7,9,2993,2988,0,2988,5986,0,49.9164717674574,0.0,99.8329435349148
2,1,MAX,10,9,482,548,0,548,964,177,56.84647302904564,18.36099585062241,113.69294605809128
2,1,MAX,10,10,482,545,0,545,964,188,56.53526970954357,19.502074688796682,113.07053941908714
2,1,MAX,10,11,482,533,0,533,964,185,55.290456431535276,19.19087136929461,110.58091286307055
2,1,MAX,10,12,482,537,0,537,964,176,55.705394190871374,18.25726141078838,111.41078838174275
2,1,MAX,11,7,244,348,0,348,488,0,71.31147540983606,0.0,142.62295081967213
2,1,MAX,11,8,244,352,0,352,488,0,72.1311475409836,0.0,144.2622950819672
2,1,MAX,11,9,244,351,0,351,488,0,71.92622950819673,0.0,143.85245901639345
2,1,MAX,11,10,244,346,0,346,488,0,70.90163934426229,0.0,141.80327868852459
2,1,MAX,11,11,244,350,0,350,488,0,71.72131147540983,0.0,143.44262295081967
2,1,MAX,11,12,244,357,0,357,488,0,73.15573770491804,0.0,146.31147540983608
2,1,MAX,7,10,2993,2976,0,2976,5986,0,49.71600400935516,0.0,99.43200801871032
2,1,MAX,12,7,140,261,0,261,280,0,93.21428571428572,0.0,186.42857142857144
2,1,MAX,12,8,140,268,0,268,280,0,95.71428571428572,0.0,191.42857142857144
2,1,MAX,12,9,140,264,0,264,280,0,94.28571428571428,0.0,188.57142857142856
2,1,MAX,12,10,140,264,0,264,280,0,94.28571428571428,0.0,188.57142857142856
2,1,MAX,12,11,140,266,0,266,280,0,95.0,0.0,190.0
2,1,MAX,12,12,140,262,0,262,280,0,93.57142857142857,0.0,187.14285714285714
2,1,MAX,7,11,2993,2974,0,2974,5986,0,49.68259271633812,0.0,99.36518543267624
2,1,MAX,7,12,2993,2979,0,2979,5986,0,49.76612094888072,0.0,99.53224189776144
2,1,MAX,8,7,1675,634,0,634,3350,2222,18.925373134328357,66.32835820895522,37.850746268656714
2,1,MAX,8,8,1675,635,0,635,3350,2196,18.955223880597014,65.55223880597015,37.91044776119403
2,1,MAX,8,9,1675,634,0,634,3350,2228,18.925373134328357,66.50746268656717,37.850746268656714
2,1,MAX,8,10,1675,642,0,642,3350,2202,19.164179104477615,65.73134328358209,38.32835820895523
2,1,MIN,7,7,2993,5774,0,5774,5986,0,96.45840294019379,0.0,192.91680588038759
2,1,MIN,7,8,2993,5809,0,5809,5986,0,97.04310056799198,0.0,194.08620113598397
2,1,MIN,8,11,1675,636,0,636,3350,2710,18.98507462686567,80.8955223880597,37.97014925373134
2,1,MIN,8,12,1675,615,0,615,3350,2729,18.35820895522388,81.46268656716418,36.71641791044776
2,1,MIN,9,7,953,787,0,787,1906,1115,41.2906610703043,58.49947534102833,82.5813221406086
2,1,MIN,9,8,953,792,0,792,1906,1114,41.55299055613851,58.44700944386149,83.10598111227702
2,1,MIN,9,9,953,797,0,797,1906,1107,41.81532004197272,58.0797481636936,83.63064008394544
2,1,MIN,9,10,953,791,0,791,1906,1114,41.50052465897166,58.44700944386149,83.00104931794333
2,1,MIN,9,11,953,788,0,788,1906,1115,41.34312696747114,58.49947534102833,82.68625393494229
2,1,MIN,9,12,953,801,0,801,1906,1105,42.025183630640086,57.974816369359914,84.05036726128017
2,1,MIN,10,7,482,661,0,661,964,302,68.56846473029046,31.327800829875518,137.13692946058092
2,1,MIN,10,8,482,669,0,669,964,295,69.39834024896265,30.601659751037346,138.7966804979253
2,1,MIN,7,9,2993,5796,0,5796,5986,0,96.82592716338122,0.0,193.65185432676245
2,1,MIN,10,9,482,659,0,659,964,305,68.3609958506224,31.63900414937759,136.7219917012448
2,1,MIN,10,10,482,662,0,662,964,302,68.67219917012449,31.327800829875518,137.34439834024897
2,1,MIN,10,11,482,668,0,668,964,296,69.29460580912863,30.70539419087137,138.58921161825725
2,1,MIN,10,12,482,659,0,659,964,305,68.3609958506224,31.63900414937759,136.7219917012448
2,1,MIN,11,7,244,488,0,488,488,0,100.0,0.0,200.0
2,1,MIN,11,8,244,488,0,488,488,0,100.0,0.0,200.0
2,1,MIN,11,9,244,488,0,488,488,0,100.0,0.0,200.0
2,1,MIN,11,10,244,488,0,488,488,0,100.0,0.0,200.0
2,1,MIN,11,11,244,488,0,488,488,0,100.0,0.0,200.0
2,1,MIN,11,12,244,488,0,488,488,0,100.0,0.0,200.0
2,1,MIN,7,10,2993,5779,0,5779,5986,0,96.54193117273638,0.0,193.08386234547277
2,1,MIN,12,7,140,280,0,280,280,0,100.0,0.0,200.0
2,1,MIN,12,8,140,280,0,280,280,0,100.0,0.0,200.0
2,1,MIN,12,9,140,280,0,280,280,0,100.0,0.0,200.0
2,1,MIN,12,10,140,280,0,280,280,0,100.0,0.0,200.0
2,1,MIN,12,11,140,280,0,280,280,0,100.0,0.0,200.0
2,1,MIN,12,12,140,280,0,280,280,0,100.0,0.0,200.0
2,1,MIN,7,11,2993,5781,0,5781,5986,0,96.57534246575342,0.0,193.15068493150685
2,1,MIN,7,12,2993,5791,0,5791,5986,0,96.74239893083862,0.0,193.48479786167724
2,1,MIN,8,7,1675,614,0,614,3350,2731,18.328358208955223,81.52238805970148,36.656716417910445
2,1,MIN,8,8,1675,615,0,615,3350,2731,18.35820895522388,81.52238805970148,36.71641791044776
2,1,MIN,8,9,1675,624,0,624,3350,2723,18.62686567164179,81.28358208955224,37.25373134328358
2,1,MIN,8,10,1675,630,0,630,3350,2718,18.80597014925373,81.13432835820895,37.61194029850746
2,2,MAX,7,7,2993,2967,0,2967,5986,0,49.565653190778484,0.0,99.13130638155697
2,2,MAX,7,8,2993,2965,0,2965,5986,0,49.532241897761445,0.0,99.06448379552289
2,2,MAX,8,11,1675,630,0,630,3350,2195,18.80597014925373,65.5223880597015,37.61194029850746
2,2,MAX,8,12,1675,641,0,641,3350,2173,19.134328358208954,64.86567164179104,38.26865671641791
2,2,MAX,9,7,953,660,0,660,1906,791,34.62749213011542,41.50052465897166,69.25498426023084
2,2,MAX,9,8,953,656,0,656,1906,803,34.41762854144806,42.130115424973766,68.83525708289612
2,2,MAX,9,9,953,667,0,667,1906,777,34.994753410283316,40.76600209863589,69.98950682056663
2,2,MAX,9,10,953,666,0,666,1906,776,34.942287513116476,40.71353620146905,69.88457502623295
2,2,MAX,9,11,953,659,0,659,1906,790,34.57502623294859,41.44805876180483,69.15005246589718
2,2,MAX,9,12,953,667,0,667,1906,776,34.994753410283316,40.71353620146905,69.98950682056663
2,2,MAX,10,7,482,491,0,491,964,150,50.933609958506224,15.560165975103734,101.86721991701245
2,2,MAX,10,8,482,498,0,498,964,151,51.65975103734441,15.663900414937759,103.31950207468881
2,2,MAX,7,9,2993,2952,0,2952,5986,0,49.31506849315068,0.0,98.63013698630137
