gw,mesh,mode,sensorSF,meshSF,total_sent,total_rcv,total_drop,total_rcv_correct,total_rcv_started,total_collision,radio_der_pct,collision_pct,der_pct,sensitivity_loss_pct,collision_loss_pct
2,1,MAX,7,7,140,140,0,140,280,0,50.0,0.0,100.0,-100.0,0.0
2,1,MAX,7,8,140,138,0,138,280,0,49.28571428571429,0.0,98.57142857142858,-100.0,0.0
2,1,MAX,8,11,140,143,0,143,280,0,51.07142857142857,0.0,102.14285714285714,-100.0,0.0
2,1,MAX,8,12,140,143,0,143,280,0,51.07142857142857,0.0,102.14285714285714,-100.0,0.0
2,1,MAX,9,7,140,157,0,157,280,0,56.07142857142857,0.0,112.14285714285714,-100.0,0.0
2,1,MAX,9,8,140,152,0,152,280,0,54.285714285714285,0.0,108.57142857142857,-100.0,0.0
2,1,MAX,9,9,140,158,0,158,280,0,56.42857142857143,0.0,112.85714285714286,-100.0,0.0
2,1,MAX,9,10,140,158,0,158,280,0,56.42857142857143,0.0,112.85714285714286,-100.0,0.0
2,1,MAX,9,11,140,156,0,156,280,0,55.714285714285715,0.0,111.42857142857143,-100.0,0.0
2,1,MAX,9,12,140,157,0,157,280,0,56.07142857142857,0.0,112.14285714285714,-100.0,0.0
2,1,MAX,10,7,140,196,0,196,280,0,70.0,0.0,140.0,-100.0,0.0
2,1,MAX,10,8,140,195,0,195,280,0,69.64285714285714,0.0,139.28571428571428,-100.0,0.0
2,1,MAX,7,9,140,140,0,140,280,0,50.0,0.0,100.0,-100.0,0.0
2,1,MAX,10,9,140,185,0,185,280,0,66.07142857142857,0.0,132.14285714285714,-100.0,0.0
2,1,MAX,10,10,140,180,0,180,280,0,64.28571428571429,0.0,128.57142857142858,-100.0,0.0
2,1,MAX,10,11,140,171,0,171,280,0,61.07142857142858,0.0,122.14285714285715,-100.0,0.0
2,1,MAX,10,12,140,187,0,187,280,0,66.78571428571428,0.0,133.57142857142856,-100.0,0.0
2,1,MAX,11,7,140,211,0,211,280,0,75.35714285714286,0.0,150.71428571428572,-100.0,0.0
2,1,MAX,11,8,140,201,0,201,280,0,71.78571428571429,0.0,143.57142857142858,-100.0,0.0
2,1,MAX,11,9,140,193,0,193,280,0,68.92857142857143,0.0,137.85714285714286,-100.0,0.0
2,1,MAX,11,10,140,201,0,201,280,0,71.78571428571429,0.0,143.57142857142858,-100.0,0.0
2,1,MAX,11,11,140,206,0,206,280,0,73.57142857142858,0.0,147.14285714285717,-100.0,0.0
2,1,MAX,11,12,140,214,0,214,280,0,76.42857142857142,0.0,152.85714285714283,-100.0,0.0
2,1,MAX,7,10,140,139,0,139,280,0,49.642857142857146,0.0,99.28571428571429,-100.0,0.0
2,1,MAX,12,7,140,265,0,265,280,0,94.64285714285714,0.0,189.28571428571428,-100.0,0.0
2,1,MAX,12,8,140,273,0,273,280,0,97.5,0.0,195.0,-100.0,0.0
2,1,MAX,12,9,140,262,0,262,280,0,93.57142857142857,0.0,187.14285714285714,-100.0,0.0
2,1,MAX,12,10,140,269,0,269,280,0,96.07142857142857,0.0,192.14285714285714,-100.0,0.0
2,1,MAX,12,11,140,264,0,264,280,0,94.28571428571428,0.0,188.57142857142856,-100.0,0.0
2,1,MAX,12,12,140,265,0,265,280,0,94.64285714285714,0.0,189.28571428571428,-100.0,0.0
2,1,MAX,7,11,140,138,0,138,280,0,49.28571428571429,0.0,98.57142857142858,-100.0,0.0
2,1,MAX,7,12,140,142,0,142,280,0,50.71428571428571,0.0,101.42857142857142,-100.0,0.0
2,1,MAX,8,7,140,141,0,141,280,0,50.357142857142854,0.0,100.71428571428571,-100.0,0.0
