gw,mesh,mode,sensorSF,meshSF,total_sent,total_rcv,total_drop,total_rcv_correct,total_rcv_started,total_collision,radio_der_pct,collision_pct,der_pct
2,1,MAX,10,10,482,351,0,351,964,142,36.410788381742734,14.730290456431536,72.82157676348547
2,1,MAX,10,11,482,341,0,341,964,142,35.37344398340249,14.730290456431536,70.74688796680498
2,1,MAX,10,12,482,348,0,348,964,142,36.09958506224066,14.730290456431536,72.19917012448133
2,1,MAX,10,7,482,345,0,345,964,142,35.788381742738586,14.730290456431536,71.57676348547717
2,1,MAX,10,8,482,336,0,336,964,142,34.85477178423236,14.730290456431536,69.70954356846472
2,1,MAX,10,9,482,346,0,346,964,142,35.892116182572614,14.730290456431536,71.78423236514523
2,1,MAX,11,10,244,188,0,188,488,0,38.52459016393443,0.0,77.04918032786885
2,1,MAX,11,11,244,187,0,187,488,0,38.31967213114754,0.0,76.63934426229508
2,1,MAX,11,12,244,183,0,183,488,0,37.5,0.0,75.0
2,1,MAX,11,7,244,198,0,198,488,0,40.57377049180328,0.0,81.14754098360656
2,1,MAX,11,8,244,193,0,193,488,0,39.549180327868854,0.0,79.09836065573771
2,1,MAX,11,9,244,189,0,189,488,0,38.72950819672131,0.0,77.45901639344262
2,1,MAX,12,10,140,128,0,128,280,0,45.714285714285715,0.0,91.42857142857143
2,1,MAX,12,11,140,130,0,130,280,0,46.42857142857143,0.0,92.85714285714286
2,1,MAX,12,12,140,129,0,129,280,0,46.07142857142857,0.0,92.14285714285714
2,1,MAX,12,7,140,129,0,129,280,0,46.07142857142857,0.0,92.14285714285714
2,1,MAX,12,8,140,132,0,132,280,0,47.14285714285714,0.0,94.28571428571428
2,1,MAX,12,9,140,131,0,131,280,0,46.785714285714285,0.0,93.57142857142857
2,1,MAX,7,10,2993,1133,0,1133,5986,0,18.927497494153023,0.0,37.854994988306046
2,1,MAX,7,11,2993,1107,0,1107,5986,0,18.493150684931507,0.0,36.986301369863014
2,1,MAX,7,12,2993,1145,0,1145,5986,0,19.127965252255265,0.0,38.25593050451053
2,1,MAX,7,7,2993,1135,0,1135,5986,0,18.960908787170062,0.0,37.921817574340125
2,1,MAX,7,8,2993,1158,0,1158,5986,0,19.34513865686602,0.0,38.69027731373204
2,1,MAX,7,9,2993,1107,0,1107,5986,0,18.493150684931507,0.0,36.986301369863014
2,1,MAX,8,10,1675,547,0,547,3350,1906,16.328358208955223,56.8955223880597,32.656716417910445
2,1,MAX,8,11,1675,549,0,549,3350,1920,16.388059701492537,57.3134328358209,32.776119402985074
2,1,MAX,8,12,1675,550,0,550,3350,1934,16.417910447761194,57.73134328358209,32.83582089552239
2,1,MAX,8,7,1675,546,0,546,3350,1926,16.29850746268657,57.492537313432834,32.59701492537314
2,1,MAX,8,8,1675,542,0,542,3350,1898,16.17910447761194,56.656716417910445,32.35820895522388
2,1,MAX,8,9,1675,544,0,544,3350,1926,16.238805970149254,57.492537313432834,32.47761194029851
2,1,MAX,9,10,953,473,0,473,1906,599,24.816369359916056,31.427072402938087,49.63273871983211
2,1,MAX,9,11,953,476,0,476,1906,606,24.97376705141658,31.79433368310598,49.94753410283316
2,1,MAX,9,12,953,467,0,467,1906,604,24.501573976915004,31.689401888772302,49.00314795383001
2,1,MAX,9,7,953,455,0,455,1906,605,23.871983210912905,31.74186778593914,47.74396642182581
2,1,MAX,9,8,953,469,0,469,1906,618,24.60650577124869,32.423924449108085,49.21301154249738
2,1,MAX,9,9,953,460,0,460,1906,595,24.134312696747116,31.217208814270727,48.26862539349423
2,1,MIN,10,10,482,428,0,428,964,169,44.398340248962654,17.531120331950206,88.79668049792531
2,1,MIN,10,11,482,414,0,414,964,165,42.946058091286304,17.116182572614107,85.89211618257261
2,1,MIN,10,12,482,418,0,418,964,165,43.36099585062241,17.116182572614107,86.72199170124482
2,1,MIN,10,7,482,407,0,407,964,165,42.219917012448136,17.116182572614107,84.43983402489627
2,1,MIN,10,8,482,434,0,434,964,156,45.02074688796681,16.182572614107883,90.04149377593362
2,1,MIN,10,9,482,407,0,407,964,170,42.219917012448136,17.634854771784234,84.43983402489627
2,1,MIN,11,10,244,293,0,293,488,0,60.040983606557376,0.0,120.08196721311475
2,1,MIN,11,11,244,277,0,277,488,0,56.76229508196722,0.0,113.52459016393443
2,1,MIN,11,12,244,294,0,294,488,0,60.245901639344254,0.0,120.49180327868851
2,1,MIN,11,7,244,301,0,301,488,0,61.68032786885246,0.0,123.36065573770492
2,1,MIN,11,8,244,293,0,293,488,0,60.040983606557376,0.0,120.08196721311475
2,1,MIN,11,9,244,281,0,281,488,0,57.58196721311475,0.0,115.1639344262295
2,1,MIN,12,10,140,233,0,233,280,0,83.21428571428572,0.0,166.42857142857144
2,1,MIN,12,11,140,246,0,246,280,0,87.85714285714286,0.0,175.71428571428572
2,1,MIN,12,12,140,232,0,232,280,0,82.85714285714286,0.0,165.71428571428572
2,1,MIN,12,7,140,236,0,236,280,0,84.28571428571429,0.0,168.57142857142858
2,1,MIN,12,8,140,234,0,234,280,0,83.57142857142857,0.0,167.14285714285714
2,1,MIN,12,9,140,233,0,233,280,0,83.21428571428572,0.0,166.42857142857144
2,1,MIN,7,10,2993,1223,0,1223,5986,0,20.431005679919814,0.0,40.86201135983963
2,1,MIN,7,11,2993,1209,0,1209,5986,0,20.197126628800536,0.0,40.39425325760107
2,1,MIN,7,12,2993,1206,0,1206,5986,0,20.147009689274974,0.0,40.29401937854995
2,1,MIN,7,7,2993,1198,0,1198,5986,0,20.013364517206817,0.0,40.026729034413634
2,1,MIN,7,8,2993,1225,0,1225,5986,0,20.464416972936853,0.0,40.928833945873706
2,1,MIN,7,9,2993,1184,0,1184,5986,0,19.779485466087536,0.0,39.55897093217507
2,1,MIN,8,10,1675,556,0,556,3350,2056,16.597014925373134,61.37313432835821,33.19402985074627
2,1,MIN,8,11,1675,558,0,558,3350,2056,16.65671641791045,61.37313432835821,33.3134328358209
2,1,MIN,8,12,1675,553,0,553,3350,2111,16.507462686567166,63.014925373134325,33.01492537313433
2,1,MIN,8,7,1675,562,0,562,3350,2093,16.776119402985074,62.4776119402985,33.55223880597015
2,1,MIN,8,8,1675,551,0,551,3350,2040,16.44776119402985,60.895522388059696,32.8955223880597
2,1,MIN,8,9,1675,567,0,567,3350,2044,16.92537313432836,61.01492537313433,33.85074626865672
2,1,MIN,9,10,953,550,0,550,1906,657,28.856243441762853,34.4700944386149,57.712486883525706
2,1,MIN,9,11,953,555,0,555,1906,656,29.118572927597064,34.41762854144806,58.23714585519413
2,1,MIN,9,12,953,572,0,572,1906,626,30.010493179433368,32.84365162644281,60.020986358866736
2,1,MIN,9,7,953,528,0,528,1906,654,27.70199370409234,34.31269674711437,55.40398740818468
2,1,MIN,9,8,953,556,0,556,1906,653,29.1710388247639,34.26023084994753,58.3420776495278
2,1,MIN,9,9,953,549,0,549,1906,638,28.803777544596016,33.47324239244492,57.60755508919203
2,2,MAX,10,10,482,348,0,348,964,142,36.09958506224066,14.730290456431536,72.19917012448133
2,2,MAX,10,11,482,322,0,322,964,142,33.40248962655601,14.730290456431536,66.80497925311202
2,2,MAX,10,12,482,335,0,335,964,142,34.75103734439834,14.730290456431536,69.50207468879668
2,2,MAX,10,7,482,334,0,334,964,142,34.64730290456431,14.730290456431536,69.29460580912863
2,2,MAX,10,8,482,333,0,333,964,142,34.54356846473029,14.730290456431536,69.08713692946058
2,2,MAX,10,9,482,329,0,329,964,142,34.128630705394194,14.730290456431536,68.25726141078839
