gw,mesh,mode,sensorSF,meshSF,total_sent,total_rcv,total_drop,total_rcv_correct,total_rcv_started,total_collision,radio_der_pct,collision_pct,der_pct,sensitivity_loss_pct,collision_loss_pct
2,1,MAX,7,7,2993,2971,0,2971,5986,0,49.63247577681256,0.0,99.26495155362512,-100.0,0.0
2,1,MAX,7,8,2993,2993,0,2993,5986,0,50.0,0.0,100.0,-100.0,0.0
2,1,MAX,8,11,1675,634,0,634,3350,2225,18.925373134328357,66.4179104477612,37.850746268656714,-100.0,132.8358208955224
2,1,MAX,8,12,1675,634,0,634,3350,2219,18.925373134328357,66.23880597014924,37.850746268656714,-100.0,132.4776119402985
2,1,MAX,9,7,953,693,0,693,1906,822,36.358866736621195,43.12696747114376,72.71773347324239,-100.0,86.25393494228751
2,1,MAX,9,8,953,700,0,700,1906,834,36.72612801678909,43.75655823714585,73.45225603357818,-100.0,87.5131164742917
2,1,MAX,9,9,953,690,0,690,1906,838,36.201469045120675,43.96642182581322,72.40293809024135,-100.0,87.93284365162644
2,1,MAX,9,10,953,699,0,699,1906,822,36.67366211962225,43.12696747114376,73.3473242392445,-100.0,86.25393494228751
2,1,MAX,9,11,953,693,0,693,1906,826,36.358866736621195,43.33683105981112,72.71773347324239,-100.0,86.67366211962224
2,1,MAX,9,12,953,687,0,687,1906,838,36.04407135362015,43.96642182581322,72.0881427072403,-100.0,87.93284365162644
2,1,MAX,10,7,482,541,0,541,964,184,56.12033195020747,19.08713692946058,112.24066390041494,-100.0,38.17427385892116
2,1,MAX,10,8,482,543,0,543,964,207,56.32780082987552,21.473029045643152,112.65560165975104,-100.0,42.946058091286304
2,1,MAX,7,9,2993,2989,0,2989,5986,0,49.933177413965915,0.0,99.86635482793183,-100.0,0.0
2,1,MAX,10,9,482,549,0,549,964,180,56.95020746887967,18.672199170124482,113.90041493775934,-100.0,37.344398340248965
2,1,MAX,10,10,482,547,0,547,964,191,56.74273858921162,19.813278008298756,113.48547717842324,-100.0,39.62655601659751
2,1,MAX,10,11,482,534,0,534,964,191,55.3941908713693,19.813278008298756,110.7883817427386,-100.0,39.62655601659751
2,1,MAX,10,12,482,539,0,539,964,179,55.91286307053942,18.568464730290458,111.82572614107885,-100.0,37.136929460580916
2,1,MAX,11,7,244,349,0,349,488,0,71.51639344262296,0.0,143.0327868852459,-100.0,0.0
2,1,MAX,11,8,244,352,0,352,488,0,72.1311475409836,0.0,144.2622950819672,-100.0,0.0
2,1,MAX,11,9,244,352,0,352,488,0,72.1311475409836,0.0,144.2622950819672,-100.0,0.0
2,1,MAX,11,10,244,346,0,346,488,0,70.90163934426229,0.0,141.80327868852459,-100.0,0.0
2,1,MAX,11,11,244,350,0,350,488,0,71.72131147540983,0.0,143.44262295081967,-100.0,0.0
2,1,MAX,11,12,244,359,0,359,488,0,73.5655737704918,0.0,147.1311475409836,-100.0,0.0
2,1,MAX,7,10,2993,2978,0,2978,5986,0,49.7494153023722,0.0,99.4988306047444,-100.0,0.0
2,1,MAX,12,7,140,257,0,257,280,0,91.78571428571428,0.0,183.57142857142856,-100.0,0.0
2,1,MAX,12,8,140,264,0,264,280,0,94.28571428571428,0.0,188.57142857142856,-100.0,0.0
2,1,MAX,12,9,140,261,0,261,280,0,93.21428571428572,0.0,186.42857142857144,-100.0,0.0
2,1,MAX,12,10,140,258,0,258,280,0,92.14285714285714,0.0,184.28571428571428,-100.0,0.0
