sensorSF,meshSF,weatherSigma,s0_sent,s1_sent,s2_sent,s3_sent,s4_sent,total_tx,gw1_below,gw2_below,total_below,ns1_rcv,ns2_rcv,total_rcv,der_pct,gw1_dropped,gw1_congestion
7,7,0.0,153,153,153,153,153,765,0.0,0.0,0.0,153,153,306,40.0,0,0
7,7,3.0,153,153,153,153,153,765,0.0,4.0,4.0,153,141,294,38.43,0,0
7,7,6.0,153,153,153,153,153,765,4.0,12.0,16.0,145,125,270,35.29,0,0
7,7,9.0,153,153,153,153,153,765,2.0,13.0,15.0,144,128,272,35.56,0,0
7,8,0.0,153,153,153,153,153,765,0.0,0.0,0.0,153,153,306,40.0,0,0
7,8,3.0,153,153,153,153,153,765,0.0,1.0,1.0,153,149,302,39.48,0,0
7,8,6.0,153,153,153,153,153,765,5.0,15.0,20.0,144,131,275,35.95,0,0
7,8,9.0,153,153,153,153,153,765,11.0,19.0,30.0,133,120,253,33.07,0,0
7,9,0.0,153,153,153,153,153,765,0.0,0.0,0.0,153,153,306,40.0,0,0
7,9,3.0,153,153,153,153,153,765,0.0,0.0,0.0,153,147,300,39.22,0,0
7,9,6.0,153,153,153,153,153,765,3.0,11.0,14.0,142,133,275,35.95,0,0
7,9,9.0,153,153,153,153,153,765,5.0,15.0,20.0,142,121,263,34.38,0,0
7,10,0.0,153,153,153,153,153,765,0.0,0.0,0.0,153,153,306,40.0,0,0
7,10,3.0,153,153,153,153,153,765,0.0,4.0,4.0,151,143,294,38.43,0,0
7,10,6.0,153,153,153,153,153,765,0.0,10.0,10.0,147,131,278,36.34,0,0
7,10,9.0,153,153,153,153,153,765,4.0,15.0,19.0,138,133,271,35.42,0,0
7,11,0.0,153,153,153,153,153,765,0.0,0.0,0.0,153,153,306,40.0,0,0
7,11,3.0,153,153,153,153,153,765,0.0,2.0,2.0,152,148,300,39.22,0,0
7,11,6.0,153,153,153,153,153,765,2.0,12.0,14.0,147,132,279,36.47,0,0
7,11,9.0,153,153,153,153,153,765,8.0,14.0,22.0,131,128,259,33.86,0,0
